物件名,住所,最寄り駅,築年数,価格,間取り,面積,バルコニーの広さ,都県,市区,築年月数,価格(万円),不動産単価（万／坪）,路線,駅名,緯度,経度
白金タワー,東京都港区白金１,東京メトロ南北線「白金高輪」徒歩1分,2005年9月,290000000.0,1LDK+S（納戸）,75.95,7.95,東京,港,243,29000.0,1260,東京メトロ南北線,白金高輪,35.6449583,139.7339083
シティタワー麻布十番,東京都港区三田１,都営大江戸線「麻布十番」徒歩5分,2009年6月,290000000.0,1LDK,55.7,5.52,東京,港,198,29000.0,1718,都営大江戸線,麻布十番,35.6537721,139.741572
シティタワー麻布十番,東京都港区三田１,東京メトロ南北線「麻布十番」徒歩4分,2009年6月,295000000.0,1LDK,55.7,5.52,東京,港,198,29500.0,1748,東京メトロ南北線,麻布十番,35.6537721,139.741572
WORLD TOWER RESIDENCE,東京都港区浜松町２,ＪＲ山手線「浜松町」徒歩2分,2024年11月,295000000.0,2LDK,55.46,10.71,東京,港,13,29500.0,1755,ＪＲ山手線,浜松町,35.6548149,139.7556247
ドゥ・トゥール　ウエスト,東京都中央区晴海３,都営大江戸線「勝どき」徒歩5分,2015年9月,298000000.0,3LDK,100.9,7.15,東京,中央,123,29800.0,975,都営大江戸線,勝どき,35.6548467,139.7786272
ドゥ・トゥール,東京都中央区晴海３,都営大江戸線「勝どき」徒歩5分,2015年9月,298000000.0,3LDK,100.9,7.15,東京,中央,123,29800.0,975,都営大江戸線,勝どき,35.6548467,139.7786272
パークタワー晴海,東京都中央区晴海２,東京メトロ有楽町線「月島」徒歩12分,2019年2月,298000000.0,4LDK,95.43,22.79,東京,中央,82,29800.0,1030,東京メトロ有楽町線,月島,35.6564518,139.7869359
カテリーナ三田タワースイート,東京都港区芝４-16,都営三田線「三田」徒歩3分,2006年8月,300000000.0,2LDK,70.31,7.08,東京,港,232,30000.0,1408,都営三田線,三田,35.6481117,139.7505556
カテリーナ三田タワースイート,東京都港区芝４,ＪＲ山手線「田町」徒歩5分,2006年8月,300000000.0,2LDK,70.31,7.09,東京,港,232,30000.0,1408,ＪＲ山手線,田町,35.6481737,139.7505142
カテリーナ三田タワースイートＥ,東京都港区芝４,ＪＲ山手線「田町」徒歩5分,2006年8月,300000000.0,2LDK,70.31,7.08,東京,港,232,30000.0,1408,ＪＲ山手線,田町,35.6481737,139.7505142
